
SetupTitle, 2502-IdVgg-Vg
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 0
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, PLC
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Function.Analysis.Name, grad
TestParameter, Function.Analysis.Unit, 
TestParameter, Function.Analysis.Definition, diff(ID)
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VTG
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 3
TestParameter, Output.Graph.XAxis.Right, -3
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, ID, ID, grad
TestParameter, Output.Graph.YAxis.Scale, Log, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, 0.001, -0.001, 0
TestParameter, Output.Graph.YAxis.Top, 0.01, 0.001, 1
TestParameter, Output.Graph.YAxis.Group, , , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, true, false
TestParameter, Output.List.Data, VG, VD, VTG, ID, IS, IG, ITG
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 03/03/2025 19:36:19
MetaData, TestRecord.TestTarget, IdVgg_Vgg3tom3
MetaData, TestRecord.IterationIndex, 4
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 33b689c1-2f7d-4429-b7f3-5916715657f4
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VTG
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 3
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, -3
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, ID, ID, grad
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, true, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Linear, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, -1E-06, -7.4E-07, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, -1E-14, 6.5E-13, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.4375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.4375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.4375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.4375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.4375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU5:HR, Name=VTG, Direction=Single, Linear/Log=LINEAR, Start=3 V, Stop=-3 V, Step=-20 mV, No. of Steps=301, Compliance=1 mA, Pwr Comp=OFF	[VAR2] Unit=SMU2:HR, Name=VG, Start=300 mV, Stop=-3 V, Step=-100 mV, No. of Steps=34, Compliance=1 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU4:HR, Name=VS, Source Mode=V, Source=0 V, Compliance=100 mA	[CONSTANTS] Unit=SMU1:HP, Name=VD, Source Mode=V, Source=-50 mV, Compliance=1 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, VG	0.3,0.2,0.1,-2.77555756156289E-17,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,-1.1,-1.2,-1.3,-1.4,-1.5,-1.6,-1.7,-1.8,-1.9,-2,-2.1,-2.2,-2.3,-2.4,-2.5,-2.6,-2.7,-2.8,-2.9,-3	0.3	-0.1	34
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, VG, VD, VTG, ID, IS, IG, ITG
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, V, V, A, A, A, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, 2502-IdVgg-Vg
Dimension1, 301, 301, 301, 301, 301, 301, 301, 301
Dimension2, 34, 34, 34, 34, 34, 34, 34, 34
DataName, VTG, VG, VD, ID, IG, IS, ITG, grad
DataValue, 3, 0.3, -0.05, 2.0000000000000003E-14, 0, 0, 5E-13, 0
DataValue, 2.98, 0.3, -0.05, 2.4000000000000004E-13, 0, -5E-13, 5E-13, 2.2000000000000002E-13
DataValue, 2.96, 0.3, -0.05, 3.4E-13, 0, 0, 5E-13, 9.9999999999999978E-14
DataValue, 2.94, 0.3, -0.05, 1.6000000000000003E-13, 0, -5E-13, 5E-13, -1.8E-13
DataValue, 2.92, 0.3, -0.05, 1.6000000000000003E-13, 0, 0, 0, 0
DataValue, 2.9, 0.3, -0.05, -2.0000000000000003E-14, 0, -5E-13, 0, -1.8000000000000004E-13
DataValue, 2.88, 0.3, -0.05, -3.5E-13, 0, 0, 0, -3.3E-13
DataValue, 2.86, 0.3, -0.05, 1.4E-13, 0, -5E-13, 0, 4.9E-13
DataValue, 2.84, 0.3, -0.05, 1.6000000000000003E-13, 0, 0, 5E-13, 2.0000000000000016E-14
DataValue, 2.82, 0.3, -0.05, -5E-14, 0, 0, 0, -2.1000000000000001E-13
DataValue, 2.8000000000000003, 0.3, -0.05, -3.0000000000000005E-14, 0, 0, 5E-13, 1.9999999999999997E-14
DataValue, 2.7800000000000002, 0.3, -0.05, -1E-13, 0, -5E-13, 5E-13, -7E-14
DataValue, 2.7600000000000002, 0.3, -0.05, 3.0000000000000003E-13, 0, -5E-13, 0, 4E-13
DataValue, 2.74, 0.3, -0.05, 3.0000000000000005E-14, 0, 5E-13, 0, -2.7E-13
DataValue, 2.72, 0.3, -0.05, -1.7E-13, 0, -5E-13, 0, -2E-13
DataValue, 2.7, 0.3, -0.05, 0, -5E-13, -5E-13, 0, 1.7E-13
DataValue, 2.68, 0.3, -0.05, 1.9000000000000002E-13, 0, -5E-13, 0, 1.9000000000000002E-13
DataValue, 2.66, 0.3, -0.05, -6.0000000000000009E-14, 0, -5E-13, 0, -2.5000000000000005E-13
DataValue, 2.64, 0.3, -0.05, -1.0000000000000002E-14, 0, -5E-13, 0, 5.0000000000000008E-14
DataValue, 2.62, 0.3, -0.05, -1.5000000000000002E-13, 0, 0, 0, -1.4E-13
DataValue, 2.6, 0.3, -0.05, 4E-13, 0, 0, 0, 5.5000000000000008E-13
DataValue, 2.58, 0.3, -0.05, 3.6000000000000003E-13, 0, 0, 0, -3.9999999999999981E-14
DataValue, 2.56, 0.3, -0.05, 8.0000000000000013E-14, 0, -5E-13, 0, -2.8E-13
DataValue, 2.54, 0.3, -0.05, 1.4E-13, 0, 0, 0, 6E-14
DataValue, 2.52, 0.3, -0.05, 1.0000000000000002E-14, 0, -5E-13, 0, -1.3E-13
DataValue, 2.5, 0.3, -0.05, 6.0000000000000009E-14, 0, 0, 0, 5.0000000000000008E-14
DataValue, 2.48, 0.3, -0.05, -2.2000000000000002E-13, -5E-13, -5E-13, 0, -2.8E-13
DataValue, 2.46, 0.3, -0.05, -3.0000000000000005E-14, 0, 0, 0, 1.9000000000000002E-13
DataValue, 2.44, 0.3, -0.05, 2.3000000000000003E-13, 0, 0, 0, 2.6000000000000005E-13
DataValue, 2.42, 0.3, -0.05, 2.0000000000000003E-14, 0, 0, 0, -2.1000000000000001E-13
DataValue, 2.4, 0.3, -0.05, 6.0000000000000009E-14, 0, -5E-13, 0, 4.0000000000000006E-14
DataValue, 2.38, 0.3, -0.05, 3.0000000000000003E-13, 0, -5E-13, 0, 2.4000000000000004E-13
DataValue, 2.36, 0.3, -0.05, 4.2000000000000003E-13, 0, -5E-13, 0, 1.2E-13
DataValue, 2.34, 0.3, -0.05, -6.0000000000000009E-14, -5E-13, 0, 0, -4.8000000000000008E-13
DataValue, 2.32, 0.3, -0.05, -7E-14, -5E-13, 0, 0, -9.9999999999999953E-15
DataValue, 2.3000000000000003, 0.3, -0.05, 2.4000000000000004E-13, 0, -5E-13, 0, 3.1000000000000004E-13
DataValue, 2.2800000000000002, 0.3, -0.05, 1.1000000000000001E-13, 0, -5E-13, 0, -1.3000000000000003E-13
DataValue, 2.2600000000000002, 0.3, -0.05, 1.0000000000000002E-14, 0, -5E-13, 0, -1E-13
DataValue, 2.24, 0.3, -0.05, 1.6000000000000003E-13, 0, -5E-13, 0, 1.5000000000000002E-13
DataValue, 2.22, 0.3, -0.05, 3.4E-13, 0, -5E-13, 0, 1.8E-13
DataValue, 2.2, 0.3, -0.05, 7E-14, 0, -5E-13, 0, -2.7E-13
DataValue, 2.18, 0.3, -0.05, 2.3000000000000003E-13, 0, -5E-13, 0, 1.6000000000000003E-13
DataValue, 2.16, 0.3, -0.05, -1.9000000000000002E-13, 0, 0, 0, -4.2000000000000003E-13
DataValue, 2.14, 0.3, -0.05, 2E-13, 0, -5E-13, 0, 3.9000000000000005E-13
DataValue, 2.12, 0.3, -0.05, 3.5E-13, 0, -5E-13, 0, 1.5000000000000002E-13
DataValue, 2.1, 0.3, -0.05, -7E-14, 0, 0, 0, -4.2000000000000003E-13
DataValue, 2.08, 0.3, -0.05, -3.2000000000000005E-13, 0, -5E-13, 0, -2.5000000000000005E-13
DataValue, 2.06, 0.3, -0.05, -8.0000000000000013E-14, 0, 0, 0, 2.4000000000000004E-13
DataValue, 2.04, 0.3, -0.05, 2.8E-13, 0, 0, 0, 3.6000000000000003E-13
DataValue, 2.02, 0.3, -0.05, -1.2000000000000002E-13, 0, 5E-13, 0, -4E-13
DataValue, 2, 0.3, -0.05, -6.0000000000000009E-14, 0, -1E-12, 0, 6.0000000000000009E-14
DataValue, 1.98, 0.3, -0.05, -1.2000000000000002E-13, 0, 0, 0, -6.0000000000000009E-14
DataValue, 1.96, 0.3, -0.05, 2.6E-13, 0, -5E-13, 0, 3.8E-13
DataValue, 1.94, 0.3, -0.05, 2.2000000000000002E-13, 0, 0, 0, -3.9999999999999981E-14
DataValue, 1.92, 0.3, -0.05, -1.9000000000000002E-13, 0, -5E-13, 0, -4.1000000000000007E-13
DataValue, 1.9000000000000001, 0.3, -0.05, -3.3E-13, 0, 0, 0, -1.3999999999999998E-13
DataValue, 1.8800000000000001, 0.3, -0.05, 1.4E-13, -5E-13, 0, 0, 4.7E-13
DataValue, 1.86, 0.3, -0.05, 1.8000000000000002E-13, 0, -5E-13, 0, 4.0000000000000006E-14
DataValue, 1.84, 0.3, -0.05, 2.0000000000000003E-14, 0, 0, 0, -1.6000000000000003E-13
DataValue, 1.82, 0.3, -0.05, 1.4E-13, 0, -5E-13, 0, 1.2E-13
DataValue, 1.8, 0.3, -0.05, 1.3E-13, 0, -5E-13, 0, -1.0000000000000008E-14
DataValue, 1.78, 0.3, -0.05, 2.1000000000000001E-13, 0, -5E-13, 0, 8.0000000000000013E-14
DataValue, 1.76, 0.3, -0.05, 3.3E-13, 0, 0, 0, 1.2E-13
DataValue, 1.74, 0.3, -0.05, 5E-14, 0, -5E-13, 0, -2.8E-13
DataValue, 1.72, 0.3, -0.05, 1.2000000000000002E-13, 0, 0, 0, 7.0000000000000017E-14
DataValue, 1.7, 0.3, -0.05, 6.5000000000000006E-13, -5E-13, 0, 0, 5.3000000000000006E-13
DataValue, 1.68, 0.3, -0.05, 1.1000000000000001E-13, 0, 5E-13, 0, -5.4E-13
DataValue, 1.6600000000000001, 0.3, -0.05, -2.0000000000000003E-14, 0, -5E-13, 0, -1.3E-13
DataValue, 1.6400000000000001, 0.3, -0.05, -2.7E-13, 0, -1E-12, 0, -2.5E-13
DataValue, 1.62, 0.3, -0.05, 3.4E-13, 0, -5E-13, 0, 6.1E-13
DataValue, 1.6, 0.3, -0.05, 5E-14, -5E-13, 0, 0, -2.9000000000000003E-13
DataValue, 1.58, 0.3, -0.05, 1.8000000000000002E-13, 0, 0, 0, 1.3E-13
DataValue, 1.56, 0.3, -0.05, -2.4000000000000004E-13, 0, 0, 0, -4.2000000000000003E-13
